checking_balance,loan_duration,credit_history,purpose,credit_balance,employment_duration,guarantor,assets,age,housing,existing_credits,employment_duration,num_dependents,foreign,loan_status
no checking,30.0,critical/other existing credit,radio/tv,2831.0,1<=X<4,none,car,33.0,own,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,furniture/equipment,3021.0,1<=X<4,none,real estate,24.0,rent,1.0,unskilled resident,1.0,yes,good
no checking,12.0,existing paid,furniture/equipment,1574.0,1<=X<4,none,real estate,50.0,own,1.0,skilled,1.0,yes,good
0<=X<200,24.0,existing paid,new car,3512.0,4<=X<7,none,car,38.0,own,2.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,furniture/equipment,3017.0,<1,none,real estate,34.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,24.0,existing paid,used car,2910.0,4<=X<7,none,no known property,34.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,9.0,critical/other existing credit,new car,2134.0,1<=X<4,none,car,48.0,own,3.0,skilled,1.0,yes,good
no checking,6.0,delayed previously,business,1743.0,1<=X<4,none,real estate,34.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,6.0,delayed previously,furniture/equipment,1050.0,unemployed,none,life insurance,35.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,15.0,existing paid,new car,3186.0,4<=X<7,none,car,20.0,rent,1.0,skilled,1.0,yes,good
no checking,36.0,delayed previously,new car,10875.0,>=7,none,car,45.0,own,2.0,skilled,2.0,yes,good
0<=X<200,9.0,existing paid,radio/tv,458.0,1<=X<4,none,real estate,24.0,own,1.0,skilled,1.0,yes,good
0<=X<200,12.0,critical/other existing credit,furniture/equipment,3617.0,>=7,none,car,28.0,rent,3.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,new car,682.0,4<=X<7,none,car,51.0,own,2.0,skilled,1.0,yes,good
no checking,10.0,existing paid,used car,2901.0,<1,none,real estate,31.0,rent,1.0,skilled,1.0,yes,good
>=200,18.0,existing paid,radio/tv,2100.0,1<=X<4,co applicant,real estate,37.0,own,1.0,skilled,1.0,yes,bad
<0,6.0,all paid,education,1198.0,>=7,none,no known property,35.0,for free,1.0,skilled,1.0,yes,bad
no checking,12.0,critical/other existing credit,furniture/equipment,1402.0,4<=X<7,none,car,37.0,rent,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,repairs,996.0,4<=X<7,none,real estate,23.0,own,2.0,skilled,1.0,yes,good
<0,6.0,existing paid,furniture/equipment,1374.0,1<=X<4,none,real estate,36.0,own,1.0,unskilled resident,1.0,yes,good
no checking,36.0,existing paid,education,9055.0,1<=X<4,none,no known property,35.0,for free,1.0,unskilled resident,2.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,1240.0,>=7,none,real estate,38.0,own,2.0,skilled,1.0,yes,good
no checking,21.0,existing paid,used car,2476.0,>=7,none,real estate,46.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,10.0,existing paid,new car,1418.0,1<=X<4,none,real estate,35.0,rent,1.0,unskilled resident,1.0,no,good
>=200,12.0,existing paid,radio/tv,3399.0,>=7,none,car,37.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,24.0,existing paid,new car,1469.0,>=7,none,real estate,41.0,rent,1.0,unskilled resident,1.0,yes,good
>=200,10.0,existing paid,new car,1240.0,>=7,none,no known property,48.0,for free,1.0,unskilled resident,2.0,yes,bad
no checking,20.0,critical/other existing credit,new car,3485.0,<1,none,real estate,44.0,own,2.0,skilled,1.0,yes,good
no checking,15.0,existing paid,radio/tv,3568.0,>=7,none,car,54.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,12.0,no credits/all paid,retraining,1410.0,1<=X<4,none,real estate,31.0,own,1.0,unskilled resident,1.0,yes,good
>=200,12.0,critical/other existing credit,new car,1480.0,unemployed,none,no known property,66.0,for free,3.0,unemp/unskilled non res,1.0,yes,good
no checking,6.0,existing paid,new car,3518.0,1<=X<4,guarantor,life insurance,26.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,18.0,existing paid,new car,6260.0,4<=X<7,none,real estate,28.0,rent,1.0,unskilled resident,1.0,yes,good
0<=X<200,36.0,delayed previously,new car,7432.0,1<=X<4,none,life insurance,54.0,rent,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,radio/tv,1533.0,<1,none,car,38.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,delayed previously,business,8648.0,<1,none,car,27.0,own,2.0,skilled,1.0,yes,bad
<0,12.0,existing paid,furniture/equipment,1282.0,1<=X<4,none,car,20.0,rent,1.0,skilled,1.0,yes,bad
0<=X<200,9.0,critical/other existing credit,education,1136.0,>=7,none,no known property,32.0,for free,2.0,skilled,2.0,yes,bad
0<=X<200,7.0,existing paid,radio/tv,2576.0,1<=X<4,guarantor,real estate,35.0,own,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,new car,1381.0,1<=X<4,none,life insurance,35.0,own,1.0,skilled,1.0,yes,bad
no checking,36.0,delayed previously,used car,8947.0,4<=X<7,none,car,31.0,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
0<=X<200,24.0,delayed previously,business,6967.0,4<=X<7,none,car,36.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,24.0,existing paid,new car,1474.0,<1,none,real estate,33.0,own,1.0,skilled,1.0,yes,good
<0,39.0,critical/other existing credit,furniture/equipment,14179.0,4<=X<7,none,life insurance,30.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,36.0,critical/other existing credit,used car,5842.0,>=7,none,life insurance,35.0,own,2.0,skilled,2.0,yes,good
<0,24.0,existing paid,furniture/equipment,2996.0,1<=X<4,none,car,20.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,24.0,delayed previously,business,4712.0,1<=X<4,none,life insurance,37.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,6.0,delayed previously,radio/tv,683.0,<1,none,life insurance,29.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,new car,2859.0,unemployed,none,no known property,38.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,6.0,existing paid,furniture/equipment,428.0,>=7,none,life insurance,49.0,own,1.0,skilled,1.0,yes,good
0<=X<200,15.0,existing paid,repairs,1308.0,>=7,none,car,38.0,own,2.0,unskilled resident,1.0,yes,good
no checking,9.0,critical/other existing credit,education,1244.0,>=7,none,life insurance,41.0,rent,2.0,unskilled resident,1.0,yes,good
<0,45.0,no credits/all paid,business,11816.0,>=7,none,car,29.0,rent,2.0,skilled,1.0,yes,bad
0<=X<200,18.0,existing paid,furniture/equipment,3001.0,4<=X<7,none,real estate,40.0,rent,1.0,skilled,1.0,yes,good
<0,12.0,no credits/all paid,repairs,1108.0,4<=X<7,none,real estate,28.0,own,2.0,skilled,1.0,yes,bad
<0,12.0,existing paid,furniture/equipment,1289.0,1<=X<4,guarantor,life insurance,21.0,own,1.0,unskilled resident,1.0,yes,good
no checking,6.0,existing paid,used car,1236.0,1<=X<4,none,life insurance,50.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,6.0,critical/other existing credit,retraining,932.0,4<=X<7,none,life insurance,39.0,own,2.0,unskilled resident,1.0,yes,good
<0,60.0,existing paid,business,7297.0,>=7,co applicant,no known property,36.0,rent,1.0,skilled,1.0,yes,bad
<0,15.0,no credits/all paid,new car,950.0,>=7,none,car,33.0,rent,2.0,skilled,2.0,yes,bad
no checking,15.0,existing paid,used car,4657.0,1<=X<4,none,car,30.0,own,1.0,skilled,1.0,yes,good
no checking,18.0,existing paid,radio/tv,1453.0,<1,none,real estate,26.0,own,1.0,skilled,1.0,yes,good
no checking,18.0,existing paid,radio/tv,1126.0,<1,none,real estate,21.0,rent,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,business,6568.0,1<=X<4,none,car,21.0,own,1.0,unskilled resident,1.0,yes,good
<0,24.0,existing paid,new car,1207.0,<1,none,life insurance,24.0,rent,1.0,skilled,1.0,yes,bad
>=200,24.0,existing paid,furniture/equipment,3749.0,<1,none,car,26.0,own,1.0,skilled,1.0,yes,good
no checking,9.0,existing paid,business,1449.0,4<=X<7,none,car,27.0,own,2.0,skilled,1.0,yes,good
0<=X<200,30.0,no credits/all paid,business,4221.0,1<=X<4,none,car,28.0,own,2.0,skilled,1.0,yes,good
<0,8.0,critical/other existing credit,new car,3398.0,4<=X<7,none,real estate,39.0,own,2.0,unskilled resident,1.0,no,good
no checking,12.0,critical/other existing credit,radio/tv,930.0,>=7,none,real estate,65.0,own,4.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,used car,2346.0,4<=X<7,none,car,35.0,own,2.0,skilled,1.0,yes,good
<0,15.0,existing paid,radio/tv,1053.0,<1,none,real estate,27.0,own,1.0,skilled,1.0,no,good
no checking,24.0,existing paid,radio/tv,2284.0,4<=X<7,none,car,28.0,own,1.0,skilled,1.0,yes,good
<0,12.0,existing paid,furniture/equipment,2578.0,unemployed,none,no known property,55.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,48.0,delayed previously,radio/tv,7238.0,>=7,none,car,32.0,own,2.0,skilled,2.0,yes,good
no checking,9.0,existing paid,domestic appliance,1236.0,<1,none,real estate,23.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,60.0,existing paid,new car,7408.0,<1,none,life insurance,24.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,24.0,all paid,furniture/equipment,2483.0,1<=X<4,none,real estate,22.0,own,1.0,skilled,1.0,yes,good
<0,12.0,critical/other existing credit,used car,1409.0,>=7,none,real estate,54.0,own,1.0,skilled,1.0,yes,good
0<=X<200,24.0,delayed previously,radio/tv,6403.0,<1,none,car,33.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,no credits/all paid,furniture/equipment,2759.0,>=7,none,life insurance,34.0,own,2.0,skilled,1.0,yes,good
<0,6.0,existing paid,education,448.0,<1,none,life insurance,23.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,used car,2028.0,1<=X<4,none,car,30.0,own,1.0,skilled,1.0,yes,good
0<=X<200,24.0,critical/other existing credit,education,5743.0,<1,none,no known property,24.0,for free,2.0,skilled,1.0,yes,good
<0,12.0,existing paid,furniture/equipment,1858.0,<1,none,car,22.0,rent,1.0,skilled,1.0,yes,good
no checking,15.0,critical/other existing credit,radio/tv,1360.0,1<=X<4,none,life insurance,31.0,own,2.0,skilled,1.0,yes,good
<0,18.0,existing paid,domestic appliance,1217.0,1<=X<4,none,real estate,47.0,own,1.0,unskilled resident,1.0,yes,bad
<0,24.0,delayed previously,new car,4870.0,1<=X<4,none,no known property,53.0,for free,2.0,skilled,2.0,yes,bad
no checking,18.0,existing paid,new car,1820.0,1<=X<4,none,life insurance,30.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,717.0,>=7,none,real estate,52.0,own,3.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,repairs,639.0,1<=X<4,none,car,30.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,24.0,existing paid,new car,1355.0,<1,none,car,25.0,own,1.0,unskilled resident,1.0,yes,bad
0<=X<200,21.0,existing paid,business,1188.0,>=7,none,life insurance,39.0,own,1.0,skilled,2.0,yes,bad
no checking,12.0,existing paid,business,1076.0,1<=X<4,none,real estate,26.0,own,1.0,skilled,1.0,no,good
<0,12.0,critical/other existing credit,new car,3499.0,1<=X<4,co applicant,real estate,29.0,own,2.0,skilled,1.0,yes,bad
<0,20.0,existing paid,furniture/equipment,2212.0,4<=X<7,none,car,39.0,own,1.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,furniture/equipment,1922.0,1<=X<4,none,life insurance,37.0,own,1.0,unskilled resident,1.0,yes,bad
<0,12.0,existing paid,new car,2579.0,<1,none,real estate,33.0,own,1.0,unskilled resident,2.0,yes,bad
<0,18.0,no credits/all paid,furniture/equipment,3114.0,<1,none,life insurance,26.0,rent,1.0,skilled,1.0,yes,bad
<0,16.0,critical/other existing credit,new car,2625.0,>=7,guarantor,life insurance,43.0,rent,1.0,skilled,1.0,yes,bad
no checking,14.0,delayed previously,new car,802.0,1<=X<4,none,car,27.0,own,2.0,unskilled resident,1.0,yes,good
no checking,24.0,existing paid,radio/tv,3181.0,<1,none,life insurance,26.0,own,1.0,skilled,1.0,yes,good
0<=X<200,24.0,delayed previously,new car,1965.0,1<=X<4,none,car,42.0,rent,2.0,skilled,1.0,yes,good
<0,12.0,delayed previously,new car,1344.0,1<=X<4,none,real estate,43.0,own,2.0,unskilled resident,2.0,yes,good
<0,6.0,existing paid,new car,14896.0,>=7,none,no known property,68.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,15.0,existing paid,new car,3959.0,1<=X<4,none,life insurance,29.0,own,1.0,skilled,1.0,yes,bad
<0,6.0,existing paid,radio/tv,2647.0,1<=X<4,none,real estate,44.0,rent,1.0,skilled,2.0,yes,good
0<=X<200,18.0,critical/other existing credit,furniture/equipment,3612.0,>=7,none,life insurance,37.0,own,1.0,skilled,1.0,yes,good
no checking,6.0,critical/other existing credit,new car,250.0,1<=X<4,none,real estate,41.0,own,2.0,unskilled resident,1.0,yes,good
no checking,21.0,existing paid,furniture/equipment,2241.0,>=7,none,real estate,50.0,own,2.0,skilled,1.0,yes,good
0<=X<200,18.0,existing paid,repairs,3872.0,unemployed,none,car,67.0,own,1.0,skilled,1.0,yes,good
0<=X<200,12.0,critical/other existing credit,used car,1860.0,unemployed,none,car,34.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
<0,24.0,existing paid,used car,2964.0,>=7,none,no known property,49.0,for free,1.0,skilled,2.0,yes,good
<0,24.0,delayed previously,radio/tv,1659.0,<1,none,car,29.0,rent,1.0,unskilled resident,1.0,yes,bad
no checking,12.0,existing paid,radio/tv,2279.0,1<=X<4,none,no known property,37.0,for free,1.0,skilled,1.0,yes,good
0<=X<200,18.0,critical/other existing credit,furniture/equipment,7374.0,unemployed,none,life insurance,40.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,9.0,no credits/all paid,radio/tv,1337.0,<1,none,car,34.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,12.0,critical/other existing credit,furniture/equipment,1592.0,4<=X<7,none,life insurance,35.0,own,1.0,skilled,1.0,no,good
0<=X<200,24.0,no credits/all paid,business,4241.0,1<=X<4,none,real estate,36.0,own,3.0,unskilled resident,1.0,yes,bad
0<=X<200,6.0,all paid,education,433.0,<1,none,life insurance,24.0,rent,1.0,skilled,2.0,yes,bad
0<=X<200,24.0,existing paid,used car,12579.0,>=7,none,no known property,44.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,18.0,critical/other existing credit,furniture/equipment,3780.0,<1,none,car,35.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,9.0,critical/other existing credit,radio/tv,1154.0,>=7,none,real estate,37.0,own,3.0,unskilled resident,1.0,yes,good
no checking,6.0,existing paid,radio/tv,1346.0,>=7,none,no known property,42.0,for free,1.0,skilled,2.0,yes,good
no checking,18.0,existing paid,radio/tv,2051.0,<1,none,real estate,33.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,new car,2022.0,1<=X<4,none,car,37.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,education,2096.0,4<=X<7,none,real estate,49.0,own,1.0,unskilled resident,2.0,yes,good
0<=X<200,18.0,existing paid,business,4439.0,>=7,co applicant,real estate,33.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,18.0,critical/other existing credit,radio/tv,2238.0,1<=X<4,none,car,25.0,own,2.0,skilled,1.0,yes,good
0<=X<200,48.0,all paid,business,3566.0,4<=X<7,none,car,30.0,own,1.0,skilled,1.0,yes,good
no checking,15.0,existing paid,used car,3812.0,<1,none,car,23.0,own,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,furniture/equipment,4169.0,1<=X<4,none,life insurance,28.0,own,1.0,skilled,1.0,yes,good
no checking,48.0,critical/other existing credit,used car,11590.0,1<=X<4,none,car,24.0,rent,2.0,unskilled resident,1.0,yes,bad
>=200,6.0,critical/other existing credit,new car,1343.0,>=7,none,real estate,46.0,own,2.0,skilled,2.0,no,good
0<=X<200,12.0,existing paid,furniture/equipment,2762.0,>=7,none,life insurance,25.0,own,1.0,skilled,1.0,yes,bad
no checking,30.0,critical/other existing credit,used car,7596.0,>=7,none,car,63.0,own,2.0,skilled,1.0,yes,good
0<=X<200,36.0,existing paid,education,2273.0,4<=X<7,none,car,32.0,own,2.0,skilled,2.0,yes,good
<0,24.0,existing paid,radio/tv,1938.0,<1,none,life insurance,32.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,24.0,existing paid,radio/tv,2896.0,<1,none,car,29.0,own,1.0,skilled,1.0,yes,good
no checking,10.0,existing paid,new car,1597.0,1<=X<4,none,no known property,40.0,rent,1.0,unskilled resident,2.0,no,good
<0,9.0,critical/other existing credit,repairs,1288.0,>=7,guarantor,real estate,48.0,own,2.0,skilled,2.0,no,good
0<=X<200,16.0,critical/other existing credit,new car,1175.0,unemployed,none,car,68.0,for free,3.0,unemp/unskilled non res,1.0,yes,good
0<=X<200,48.0,existing paid,other,5381.0,unemployed,none,no known property,40.0,for free,1.0,unemp/unskilled non res,1.0,yes,good
<0,24.0,existing paid,radio/tv,1282.0,1<=X<4,none,car,32.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,18.0,critical/other existing credit,radio/tv,1098.0,unemployed,none,car,65.0,own,2.0,unemp/unskilled non res,1.0,yes,good
no checking,12.0,existing paid,used car,4675.0,<1,none,car,20.0,rent,1.0,skilled,1.0,yes,good
<0,9.0,existing paid,new car,654.0,1<=X<4,none,car,28.0,own,1.0,unskilled resident,1.0,yes,bad
0<=X<200,36.0,critical/other existing credit,radio/tv,2337.0,>=7,none,real estate,36.0,own,1.0,skilled,1.0,yes,good
<0,15.0,existing paid,new car,2511.0,unemployed,none,car,23.0,rent,1.0,skilled,1.0,yes,good
no checking,6.0,critical/other existing credit,furniture/equipment,1221.0,1<=X<4,none,life insurance,27.0,own,2.0,skilled,1.0,yes,good
0<=X<200,15.0,existing paid,repairs,2631.0,1<=X<4,none,real estate,25.0,own,1.0,unskilled resident,1.0,yes,good
<0,18.0,existing paid,radio/tv,1882.0,1<=X<4,none,car,25.0,rent,2.0,skilled,1.0,yes,bad
<0,24.0,critical/other existing credit,radio/tv,1231.0,>=7,none,life insurance,57.0,rent,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2611.0,>=7,co applicant,real estate,46.0,own,2.0,skilled,1.0,yes,good
<0,12.0,existing paid,used car,3386.0,>=7,none,no known property,35.0,for free,1.0,skilled,1.0,yes,bad
no checking,24.0,critical/other existing credit,used car,5804.0,1<=X<4,none,real estate,27.0,own,2.0,skilled,1.0,yes,good
no checking,11.0,critical/other existing credit,new car,7228.0,1<=X<4,none,life insurance,39.0,own,2.0,unskilled resident,1.0,yes,good
no checking,9.0,existing paid,radio/tv,1478.0,4<=X<7,none,car,22.0,own,1.0,skilled,1.0,yes,bad
no checking,24.0,existing paid,radio/tv,2397.0,>=7,none,car,35.0,own,2.0,skilled,1.0,yes,bad
<0,18.0,existing paid,furniture/equipment,1131.0,unemployed,none,car,33.0,own,1.0,skilled,1.0,yes,bad
no checking,60.0,existing paid,radio/tv,10144.0,4<=X<7,none,real estate,21.0,own,1.0,skilled,1.0,yes,good
<0,15.0,existing paid,business,806.0,1<=X<4,none,life insurance,22.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,9.0,existing paid,furniture/equipment,2030.0,4<=X<7,none,car,24.0,own,1.0,skilled,1.0,yes,good
0<=X<200,36.0,existing paid,used car,9398.0,<1,none,car,28.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,9.0,critical/other existing credit,radio/tv,3074.0,1<=X<4,none,real estate,33.0,own,2.0,skilled,2.0,yes,good
<0,12.0,existing paid,radio/tv,674.0,4<=X<7,none,life insurance,20.0,own,1.0,skilled,1.0,yes,bad
no checking,24.0,critical/other existing credit,radio/tv,1516.0,1<=X<4,none,real estate,43.0,own,2.0,unskilled resident,1.0,yes,good
no checking,6.0,critical/other existing credit,radio/tv,1554.0,4<=X<7,none,car,24.0,rent,2.0,skilled,1.0,yes,good
0<=X<200,8.0,existing paid,radio/tv,1414.0,1<=X<4,guarantor,real estate,33.0,own,1.0,skilled,1.0,no,good
<0,24.0,existing paid,radio/tv,3660.0,1<=X<4,none,car,28.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,1291.0,1<=X<4,none,life insurance,35.0,own,2.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,radio/tv,1484.0,1<=X<4,none,real estate,25.0,own,1.0,skilled,1.0,yes,bad
<0,12.0,existing paid,new car,1893.0,1<=X<4,guarantor,life insurance,29.0,own,1.0,skilled,1.0,yes,good
<0,15.0,critical/other existing credit,furniture/equipment,1433.0,1<=X<4,none,life insurance,25.0,rent,2.0,skilled,1.0,yes,good
no checking,6.0,critical/other existing credit,radio/tv,1237.0,1<=X<4,none,life insurance,27.0,own,2.0,skilled,1.0,yes,good
0<=X<200,27.0,delayed previously,used car,5965.0,>=7,none,car,30.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
<0,18.0,critical/other existing credit,furniture/equipment,2124.0,1<=X<4,none,real estate,24.0,rent,2.0,skilled,1.0,yes,bad
<0,30.0,critical/other existing credit,used car,10623.0,>=7,none,no known property,38.0,for free,3.0,high qualif/self emp/mgmt,2.0,yes,good
<0,30.0,existing paid,used car,3857.0,1<=X<4,none,life insurance,40.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,11.0,existing paid,furniture/equipment,1577.0,<1,none,real estate,20.0,own,1.0,skilled,1.0,yes,good
no checking,39.0,existing paid,used car,2569.0,1<=X<4,none,car,24.0,own,1.0,skilled,1.0,yes,good
no checking,36.0,delayed previously,business,7980.0,<1,none,car,27.0,rent,2.0,skilled,1.0,yes,bad
no checking,12.0,critical/other existing credit,radio/tv,2331.0,>=7,co applicant,real estate,49.0,own,1.0,skilled,1.0,yes,good
0<=X<200,48.0,no credits/all paid,business,14421.0,1<=X<4,none,car,25.0,own,1.0,skilled,1.0,yes,bad
<0,36.0,existing paid,education,1977.0,>=7,none,no known property,40.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,15.0,existing paid,furniture/equipment,2221.0,1<=X<4,none,car,20.0,rent,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,radio/tv,2141.0,4<=X<7,none,no known property,35.0,own,1.0,skilled,1.0,yes,good
0<=X<200,24.0,critical/other existing credit,furniture/equipment,4736.0,<1,none,car,25.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,24.0,existing paid,new car,1525.0,4<=X<7,none,car,34.0,own,1.0,skilled,2.0,yes,good
no checking,24.0,critical/other existing credit,education,1927.0,1<=X<4,none,car,33.0,own,2.0,skilled,1.0,yes,good
no checking,60.0,existing paid,new car,10366.0,>=7,none,life insurance,42.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,42.0,existing paid,radio/tv,7166.0,4<=X<7,none,life insurance,29.0,rent,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,new car,1884.0,>=7,none,car,39.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,12.0,existing paid,radio/tv,2073.0,1<=X<4,co applicant,real estate,28.0,own,1.0,skilled,1.0,yes,good
0<=X<200,9.0,all paid,used car,5129.0,>=7,none,no known property,74.0,for free,1.0,high qualif/self emp/mgmt,2.0,yes,bad
0<=X<200,7.0,existing paid,radio/tv,2415.0,1<=X<4,guarantor,real estate,34.0,own,1.0,skilled,1.0,yes,good
no checking,6.0,critical/other existing credit,new car,2080.0,1<=X<4,none,car,24.0,own,1.0,skilled,1.0,yes,good
